outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_asthma,svycox_raw_pef_sensitivity,public_psu,survey_HR,11656,462,0.03963623884694578,sexmale,0.2887112174970449,0.1886618482275795,1.5303105540913478,0.12593987710733834,0.126,1.3347062330623212,0.9221328240320503,1.931869988952366
incident_asthma,svycox_raw_pef_sensitivity,public_psu,survey_HR,11656,462,0.03963623884694578,smoke_everyes,0.7369928607779187,0.18570216720432464,3.968682066951966,7.227122876921165e-5,<0.001,2.089642211762983,1.4521084635937083,3.0070787979398785
incident_asthma,svycox_raw_pef_sensitivity,public_psu,survey_HR,11656,462,0.03963623884694578,bmi_w1,-0.0053447146792161065,0.0037523309077808825,-1.424371893249936,0.15433884602138637,0.154,0.994669542896085,0.9873810123807492,1.0020118750102027
incident_asthma,svycox_raw_pef_sensitivity,public_psu,survey_HR,11656,462,0.03963623884694578,height_m_w1,-2.8590043661623654,0.9736939842079477,-2.936245280890818,0.0033221152733001837,0.003,0.05732580737533099,0.008502078846515838,0.3865229022876283
death_w2_w4,svycox_death,public_psu,survey_HR,12569,1198,0.0953138674516668,resp_vulnerability_z,0.28030076414709143,0.04454053398021808,6.293161287010664,3.110648299953615e-10,<0.001,1.3235278221974835,1.2128843915488803,1.4442645221065304
death_w2_w4,svycox_death,public_psu,survey_HR,12569,1198,0.0953138674516668,age_decade,0.9937786781247552,0.04857224859012007,20.45980383800672,4.9135602689241186e-93,<0.001,2.7014230186740598,2.456105759118527,2.9712427075783334
death_w2_w4,svycox_death,public_psu,survey_HR,12569,1198,0.0953138674516668,sexmale,0.28735878236423246,0.12932118597849349,2.2220549571206463,0.02627959178838327,0.026,1.3329023495534145,1.03447004094442,1.7174288313106083
death_w2_w4,svycox_death,public_psu,survey_HR,12569,1198,0.0953138674516668,smoke_everyes,0.3092895150173575,0.1331823858475275,2.3223004532404494,0.020216763167022103,0.020,1.3624567651030852,1.0494351203177978,1.7688453538824087
death_w2_w4,svycox_death,public_psu,survey_HR,12569,1198,0.0953138674516668,bmi_w1,-0.00224291962168583,0.0069979738570451,-0.3205098600686834,0.7485818570383538,0.749,0.9977595938430113,0.9841677209038435,1.0115391776835534
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,0.0952873746218755,resp_vulnerability_z,0.1955073637081494,0.04451761518255261,4.391685468919118,1.1247533139685603e-5,<0.001,1.215927747626269,1.1143294545468816,1.3267892017165466
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,0.0952873746218755,frailty_proxy_count_w1,0.35042816503928814,0.03463826621531005,10.116792880481979,4.654165043500634e-24,<0.001,1.4196752738000125,1.3264910709096955,1.519405540858216
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,0.0952873746218755,age_decade,0.8297569570910799,0.046869838878956224,17.70343096834555,3.9452291409563386e-70,<0.001,2.2927614331339843,2.091522088423478,2.5133633626738194
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,0.0952873746218755,sexmale,0.44183159742033606,0.13696657475839794,3.2258351951905384,0.0012560566021979308,0.001,1.5555537591097213,1.1893145239901326,2.034573234136726
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,0.0952873746218755,smoke_everyes,0.313549931253475,0.13657466353288494,2.2958133166330468,0.021686557703566246,0.022,1.3682737806811567,1.0469315900411473,1.7882478250808387
