outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
death_w2_w5,svycox_death,public_county_community,survey_HR,12569,1681,0.13374174556448404,resp_vulnerability_z,0.2861926303164874,0.03805369771303171,7.520757443197933,5.4459802857187884e-14,<0.001,1.331348888710857,1.2356626474183334,1.4344448035027138
death_w2_w5,svycox_death,public_county_community,survey_HR,12569,1681,0.13374174556448404,age_decade,1.0125178429860482,0.047183926579673297,21.45895681819406,3.76659795672505e-102,<0.001,2.7525227174983895,2.5093841058781776,3.0192194541270942
death_w2_w5,svycox_death,public_county_community,survey_HR,12569,1681,0.13374174556448404,sexmale,0.3093131043745829,0.10103838832308086,3.0613424215113345,0.0022034694123959156,0.002,1.3624889049614992,1.1177054329873906,1.6608812674207765
death_w2_w5,svycox_death,public_county_community,survey_HR,12569,1681,0.13374174556448404,smoke_everyes,0.3157282185585055,0.1186095782363992,2.6619116537893066,0.007769826863336781,0.008,1.371257522631221,1.08681722227036,1.730141145025904
death_w2_w5,svycox_death,public_county_community,survey_HR,12569,1681,0.13374174556448404,bmi_w1,-0.007715658000838858,0.026072437859664527,-0.2959315903778756,0.76728232535485,0.767,0.9923140312818333,0.9428787004169008,1.0443412670616234
death_w2_w5,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1680,0.1337366661359656,resp_vulnerability_z,0.21369371309045826,0.036249379402934295,5.895099905438941,3.744547541878125e-9,<0.001,1.2382433389811265,1.1533202189228204,1.3294196541209975
death_w2_w5,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1680,0.1337366661359656,frailty_proxy_count_w1,0.3134574105220155,0.03370127114317832,9.301056010329875,1.3905761137505428e-20,<0.001,1.368147192846221,1.28069502529892,1.461571025354847
death_w2_w5,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1680,0.1337366661359656,age_decade,0.8782485915219486,0.043446238943929065,20.214605748852055,7.282480363452015e-91,<0.001,2.4066809317089546,2.210224210706065,2.620599792091305
death_w2_w5,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1680,0.1337366661359656,sexmale,0.44745167161490995,0.10921392853892943,4.09702020246818,4.185023917921704e-5,<0.001,1.5643206990004137,1.2628768992553674,1.9377179602889487
death_w2_w5,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1680,0.1337366661359656,smoke_everyes,0.31879670576522495,0.11762260678853857,2.7103353213243806,0.00672152169089102,0.007,1.3754716710201764,1.0922681398129586,1.7321042780786515
death_w2_w5,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1680,0.1337366661359656,bmi_w1,-0.0034544701909813634,0.015579508911729495,-0.22173164831791092,0.8245227915038608,0.825,0.9965514896265231,0.9665808730245257,1.0274514002840642
